rio	campanha	ponto	data	iqa	iet	grupo	parametro	classe	unidade	padrao_legal	valor	lat	lon
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	N Total	Classe 2 - Doce	mg N/L	NE	<1,0	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	OD	Classe 2 - Doce	mg OD/L	Mínimo 5	7,14	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	Ortofosfato solúvel	Classe 2 - Doce	mg P/L	NE	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	pH	Classe 2 - Doce	s/ unid	Entre 6 - 9	7,51	-16,5064444	-39,4790556
BURANHEM	Campanha 3 - 2021	FBS-BRA-900	06/10/2021	70	46	Químicos - Água	P Total	Classe 2 - Doce	mg P/L	Máximo 0.10000	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Biológicos - Água	clorofila	Classe 2 - Doce	µg/L	Máximo 30	1,36	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Biológicos - Água	Colif. termo	Classe 2 - Doce	NMP/100mL	NE	3,5X10^3	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físico - Ar	Temperatura do Ar	Classe 2 - Doce	ºC	NE	28	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físicos - Água	Condutividade	Classe 2 - Doce	µS/cm	NE	121,8	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físicos - Água	Salinidade	Classe 2 - Doce	o/oo	NE	<0,1	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físicos - Água	Sólidos em suspensão	Classe 2 - Doce	mg/L	NE	<50	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físicos - Água	Sólidos totais	Classe 2 - Doce	mg/L	NE	117	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físicos - Água	STD	Classe 2 - Doce	mg/L	Máximo 500	71	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físicos - Água	Temperatura	Classe 2 - Doce	ºC	NE	25,8	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Físicos - Água	Turbidez	Classe 2 - Doce	NTU	Máximo 100	49,5	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	% Saturação de Oxigênio Dissolvido	Classe 2 - Doce	%	NE	78,2	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	Alcalinidade total	Classe 2 - Doce	mg CaCO3/L	NE	13,5	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	Cloreto	Classe 2 - Doce	mg Cl/L	NE	18,3	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	DBO	Classe 2 - Doce	mg/L	Máximo 5	3	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	DQO	Classe 2 - Doce	mg O2/L	NE	<30,0	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	Nitrogênio Nitrato	Classe 2 - Doce	mg N-NO3/L	Máximo 10	<0,06	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	N-NH3	Classe 2 - Doce	mg N-NH3/L	NE	<0,4	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	N Total	Classe 2 - Doce	mg N/L	NE	<1,0	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	OD	Classe 2 - Doce	mg OD/L	Mínimo 5	6,29	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	Ortofosfato solúvel	Classe 2 - Doce	mg P/L	NE	<0,02	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	pH	Classe 2 - Doce	s/ unid	Entre 6 - 9	4,76	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2022	FBS-BRA-900	11/03/2022	51	52	Químicos - Água	P Total	Classe 2 - Doce	mg P/L	Máximo 0.10000	0,03	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2022	FBS-BRA-900	10/06/2022	69	48	Biológicos - Água	clorofila	Classe 2 - Doce	µg/L	Máximo 30	0,71	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2022	FBS-BRA-900	10/06/2022	69	48	Biológicos - Água	Colif. termo	Classe 2 - Doce	NMP/100mL	NE	1,0X10^3	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2022	FBS-BRA-900	10/06/2022	69	48	Físico - Ar	Temperatura do Ar	Classe 2 - Doce	ºC	NE	30	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2022	FBS-BRA-900	10/06/2022	69	48	Físicos - Água	Condutividade	Classe 2 - Doce	µS/cm	NE	112	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2022	FBS-BRA-900	10/06/2022	69	48	Físicos - Água	Salinidade	Classe 2 - Doce	o/oo	NE	<0,1	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2022	FBS-BRA-900	10/06/2022	69	48	Físicos - Água	Sólidos em suspensão	Classe 2 - Doce	mg/L	NE	<50	-16,5064444	-39,4790556
BURANHEM	Campanha 2 - 2022	FBS-BRA-900	10/06/2022	69	48	Físicos - Água	Sólidos totais	Classe 2 - Doce	mg/L	NE	116	-16,5064444	-39,4790556
